Sector,Subsector,Gas,Year,Value,Source
AFOLU,Biomass Burning Emissions,CH4,1995,0.8587,National Communication 3
AFOLU,Biomass Burning Emissions,CH4,1996,0.8587,National Communication 3
AFOLU,Biomass Burning Emissions,CH4,1997,0.8587,National Communication 3
AFOLU,Biomass Burning Emissions,CH4,1998,0.8587,National Communication 3
AFOLU,Biomass Burning Emissions,CH4,1999,0.8587,National Communication 3
AFOLU,Biomass Burning Emissions,CH4,2000,0.8587,National Communication 3
AFOLU,Biomass Burning Emissions,CH4,2001,0.86978,National Communication 3
AFOLU,Biomass Burning Emissions,CH4,2002,0.88086,National Communication 3
AFOLU,Biomass Burning Emissions,CH4,2003,0.89194,National Communication 3
AFOLU,Biomass Burning Emissions,CH4,2004,0.90302,National Communication 3
AFOLU,Biomass Burning Emissions,CH4,2005,0.9141,National Communication 3
AFOLU,Biomass Burning Emissions,CH4,2006,0.82546,National Communication 3
AFOLU,Biomass Burning Emissions,CH4,2007,0.73682,National Communication 3
AFOLU,Biomass Burning Emissions,CH4,2008,0.64818,National Communication 3
AFOLU,Biomass Burning Emissions,CH4,2009,0.55954,National Communication 3
AFOLU,Biomass Burning Emissions,CH4,2010,0.4709,National Communication 3
AFOLU,Biomass Burning Emissions,CH4,2011,0.4432,National Communication 3
AFOLU,Biomass Burning Emissions,CH4,2012,0.4155,National Communication 3
AFOLU,Biomass Burning Emissions,CH4,2013,0.3878,National Communication 3
AFOLU,Biomass Burning Emissions,CH4,2014,0.3601,National Communication 3
AFOLU,Biomass Burning Emissions,CH4,2015,0.3324,National Communication 3
AFOLU,Biomass Burning Emissions,CH4,2016,0.3601,National Communication 3
AFOLU,Biomass Burning Emissions,CH4,2017,0.3878,National Communication 3
AFOLU,Biomass Burning Emissions,CO,1995,1.434,National Communication 3
AFOLU,Biomass Burning Emissions,CO,1996,1.1472,National Communication 3
AFOLU,Biomass Burning Emissions,CO,1997,0.8604,National Communication 3
AFOLU,Biomass Burning Emissions,CO,1998,0.5736,National Communication 3
AFOLU,Biomass Burning Emissions,CO,1999,0.2868,National Communication 3
AFOLU,Biomass Burning Emissions,CO,2000,0.0,National Communication 3
AFOLU,Biomass Burning Emissions,CO,2001,0.0,National Communication 3
