aggregation_category,gas,year,emission_co2e_mt
Agriculture and Managed Soil,ch4,1995,0.19702979999999998
Agriculture and Managed Soil,ch4,1996,0.1995129
Agriculture and Managed Soil,ch4,1997,0.20196809999999998
Agriculture and Managed Soil,ch4,1998,0.20445119999999997
Agriculture and Managed Soil,ch4,1999,0.20693430000000002
Agriculture and Managed Soil,ch4,2000,0.2094174
Agriculture and Managed Soil,ch4,2001,0.2118726
Agriculture and Managed Soil,ch4,2002,0.2130723
Agriculture and Managed Soil,ch4,2003,0.21418829999999997
Agriculture and Managed Soil,ch4,2004,0.21524849999999998
Agriculture and Managed Soil,ch4,2005,0.2163087
Agriculture and Managed Soil,ch4,2006,0.21097980000000002
Agriculture and Managed Soil,ch4,2007,0.205623
Agriculture and Managed Soil,ch4,2008,0.20023829999999998
Agriculture and Managed Soil,ch4,2009,0.19323540000000003
Agriculture and Managed Soil,ch4,2010,0.18620459999999997
Agriculture and Managed Soil,ch4,2011,0.1853118
Agriculture and Managed Soil,ch4,2012,0.1954116
Agriculture and Managed Soil,ch4,2013,0.1943793
Agriculture and Managed Soil,ch4,2014,0.2245113
Agriculture and Managed Soil,ch4,2015,0.20796659999999997
Agriculture and Managed Soil,ch4,2016,0.2254878
Agriculture and Managed Soil,ch4,2017,0.2153322
Agriculture and Managed Soil,ch4,2018,0.2822643
Agriculture and Managed Soil,ch4,2019,0.2419209
Agriculture and Managed Soil,co2,1995,7.307183
Agriculture and Managed Soil,co2,1996,7.307183
Agriculture and Managed Soil,co2,1997,7.307183
Agriculture and Managed Soil,co2,1998,7.306486
Agriculture and Managed Soil,co2,1999,7.305364
Agriculture and Managed Soil,co2,2000,7.304554
Agriculture and Managed Soil,co2,2001,7.304253
Agriculture and Managed Soil,co2,2002,7.310865
Agriculture and Managed Soil,co2,2003,7.310588
Agriculture and Managed Soil,co2,2004,0.768573
Agriculture and Managed Soil,co2,2005,0.7658510000000002
Agriculture and Managed Soil,co2,2006,7.266458
Agriculture and Managed Soil,co2,2007,0.681741
Agriculture and Managed Soil,co2,2008,0.325374
Agriculture and Managed Soil,co2,2009,0.283941
Agriculture and Managed Soil,co2,2010,0.24177500000000002
Agriculture and Managed Soil,co2,2011,0.24807800000000002
Agriculture and Managed Soil,co2,2012,0.322272
Agriculture and Managed Soil,co2,2013,0.32462599999999997
Agriculture and Managed Soil,co2,2014,0.535145
Agriculture and Managed Soil,co2,2015,0.438887
Agriculture and Managed Soil,co2,2016,0.5775450000000001
Agriculture and Managed Soil,co2,2017,0.21661600000000003
Agriculture and Managed Soil,co2,2018,0.081902
Agriculture and Managed Soil,co2,2019,0.025526000000000004
Agriculture and Managed Soil,n2o,1995,0.502866
Agriculture and Managed Soil,n2o,1996,0.433524
Agriculture and Managed Soil,n2o,1997,0.450996
Agriculture and Managed Soil,n2o,1998,0.46573799999999993
Agriculture and Managed Soil,n2o,1999,0.468741
Agriculture and Managed Soil,n2o,2000,0.4772040000000001
Agriculture and Managed Soil,n2o,2001,0.486486
Agriculture and Managed Soil,n2o,2002,0.49549499999999996
Agriculture and Managed Soil,n2o,2003,0.5045040000000001
Agriculture and Managed Soil,n2o,2004,0.51324
Agriculture and Managed Soil,n2o,2005,0.622986
Agriculture and Managed Soil,n2o,2006,0.530166
Agriculture and Managed Soil,n2o,2007,0.537537
Agriculture and Managed Soil,n2o,2008,0.570843
Agriculture and Managed Soil,n2o,2009,0.8108099999999999
Agriculture and Managed Soil,n2o,2010,0.708435
Agriculture and Managed Soil,n2o,2011,0.623805
Agriculture and Managed Soil,n2o,2012,0.645099
Agriculture and Managed Soil,n2o,2013,0.663117
Agriculture and Managed Soil,n2o,2014,0.689052
Agriculture and Managed Soil,n2o,2015,1.7229030000000003
Agriculture and Managed Soil,n2o,2016,0.7300019999999999
Agriculture and Managed Soil,n2o,2017,0.731367
Agriculture and Managed Soil,n2o,2018,0.7272719999999999
Agriculture and Managed Soil,n2o,2019,1.8817890000000002
Buildings,ch4,1995,1.81422459588944
Buildings,ch4,1996,1.81422459588944
Buildings,ch4,1997,1.9368224732231405
Buildings,ch4,1998,2.000911348253197
Buildings,ch4,1999,2.016339577206019
Buildings,ch4,2000,2.13318849795093
Buildings,ch4,2001,2.321055271242272
Buildings,ch4,2002,2.5520490866012224
Buildings,ch4,2003,2.5586752456347193
Buildings,ch4,2004,2.6020767195922048
Buildings,ch4,2005,2.6936064716656634
Buildings,ch4,2006,2.7608854004546934
Buildings,ch4,2007,2.882911377701861
Buildings,ch4,2008,3.0339872019284
Buildings,ch4,2009,3.081917970109972
Buildings,ch4,2010,3.1846628399224772
Buildings,ch4,2011,3.2614168906105743
Buildings,ch4,2012,3.3404130459718058
Buildings,ch4,2013,3.048791141130482
Buildings,ch4,2014,3.088712699934108
Buildings,ch4,2015,3.7318055368034107
Buildings,ch4,2016,3.236495142556456
Buildings,ch4,2017,3.353997109218662
Buildings,ch4,2018,4.438010711274463
Buildings,ch4,2019,4.327967372647484
Buildings,co2,1995,0.103885
Buildings,co2,1996,0.103885
Buildings,co2,1997,0.116331
Buildings,co2,1998,0.142481
Buildings,co2,1999,0.123791
Buildings,co2,2000,0.143454
Buildings,co2,2001,0.15035400000000002
Buildings,co2,2002,0.151075
Buildings,co2,2003,0.15129800000000002
Buildings,co2,2004,0.116385
Buildings,co2,2005,0.099437
Buildings,co2,2006,0.10356900000000001
Buildings,co2,2007,0.086173
Buildings,co2,2008,0.15200400000000003
Buildings,co2,2009,0.178443
Buildings,co2,2010,0.14680400000000002
Buildings,co2,2011,0.194152
Buildings,co2,2012,0.192275
Buildings,co2,2013,0.13954899999999998
Buildings,co2,2014,0.144463
Buildings,co2,2015,0.274068
Buildings,co2,2016,0.29213900000000004
Buildings,co2,2017,0.304743
Buildings,co2,2018,0.314161
Buildings,co2,2019,0.20019399999999998
Buildings,n2o,1995,0.23437392027334852
Buildings,n2o,1996,0.23437392027334852
Buildings,n2o,1997,0.24983724653148345
Buildings,n2o,1998,0.25824111340206185
Buildings,n2o,1999,0.2613580165289256
Buildings,n2o,2000,0.2766585189873418
Buildings,n2o,2001,0.2996883814602133
Buildings,n2o,2002,0.3299132696629214
Buildings,n2o,2003,0.3309568566878981
Buildings,n2o,2004,0.33608386895475817
Buildings,n2o,2005,0.34734221052631575
Buildings,n2o,2006,0.35612379310344827
Buildings,n2o,2007,0.3714901909090909
Buildings,n2o,2008,0.3861366101694915
Buildings,n2o,2009,0.39740378224238504
Buildings,n2o,2010,0.4101013888190954
Buildings,n2o,2011,0.42058021362799264
Buildings,n2o,2012,0.43072918705035973
Buildings,n2o,2013,0.3865358823529412
Buildings,n2o,2014,0.3967244314720812
Buildings,n2o,2015,0.47382391785150074
Buildings,n2o,2016,0.4092831219512195
Buildings,n2o,2017,0.42380340983606557
Buildings,n2o,2018,0.6325169594813614
Buildings,n2o,2019,0.5835971810139503
Carbon Capture Industries,ch4,1995,0.0
Carbon Capture Industries,ch4,1996,0.0
Carbon Capture Industries,ch4,1997,0.0
Carbon Capture Industries,ch4,1998,0.0
Carbon Capture Industries,ch4,1999,0.0
Carbon Capture Industries,ch4,2000,0.0
Carbon Capture Industries,ch4,2001,0.0
Carbon Capture Industries,ch4,2002,0.0
Carbon Capture Industries,ch4,2003,0.0
Carbon Capture Industries,ch4,2004,0.0
Carbon Capture Industries,ch4,2005,0.0
Carbon Capture Industries,ch4,2006,0.0
Carbon Capture Industries,ch4,2007,0.0
Carbon Capture Industries,ch4,2008,0.0
Carbon Capture Industries,ch4,2009,0.0
Carbon Capture Industries,ch4,2010,0.0
Carbon Capture Industries,ch4,2011,0.0
